UnitId,GeographicArea,Gacc,WildlandRole,UnitType,Department,Agency,Parent,Country,State,Code,Name,OrgCode,Address,Phone,Email,Started,Modified
CAABABN,IN,CAMBCIFC,Incident Host Geographic,International Country Subdivision(State/Province),,,,CA,AB,ABN,Department of Agriculture and Forestry,,J.G. O'Donoghue Building 7000-113 Street Edmonton Alberta T6H 5T6,4037427901,,20040512,20181107
CABCBCN,IN,CAMBCIFC,Incident Host Geographic,International Country Subdivision(State/Province),,,,CA,BC,BCN,"Ministry of Forests, Lands, Natural Resource Operations and Rural Development",,P.O. Box 9352 Stn Prov Gov Victoria British Columbia V8W 9M1,2503871772,,20040512,20181030
CAMBCIFC,IN,CAMBCIFC,Dispatch/Coordination Center,Interagency,,,,CA,MB,CIFC,Canadian Interagency Forest Fire Centre,,1749 Ellice Avenue  Winnepeg Manitoba R3H 1A6,2047842030,info@ciffc.ca,20040512,20150527
CAMBMBN,IN,CAMBCIFC,Incident Host Geographic,International Country Subdivision(State/Province),,,,CA,MB,MBN,Department of Sustainable Development,,Box 22 - 200 Saulteaux Crescent  Winnepeg Manitoba R3J 3W3,2049456784,,20040512,20181107
CANBNBN,IN,CAMBCIFC,Incident Host Geographic,International Country Subdivision(State/Province),,,,CA,NB,NBN,Department of Energy and Resource Development,,Hugh John Flemming Forestry Centre P.O. Box 6000 Fredericton New Brunswick E3B 5H1,5064533826,,20040512,20181113
CANLNLN,IN,CAMBCIFC,Incident Host Geographic,International Country Subdivision(State/Province),,,,CA,NL,NLN,Department of  Fisheries and Land Resources,,Fortis Building P.O. Box 2006 Corner Brook Newfoundland and Labrador A2H 6J8,7096372339,,20040513,20181030
CANSNSN,IN,CAMBCIFC,Incident Host Geographic,International Country Subdivision(State/Province),,,,CA,NS,NSN,Department of Lands and Forestry,,1701 Hollis Street Founders Square Halifax Nova Scotia B3J 3M8,9024245935,,20040603,20181113
CANTNTN,IN,CAMBCIFC,Incident Host Geographic,International Country Subdivision(State/Province),,,,CA,NT,NTN,Department of Environment and Natural Resources,,P.O. Box 1320  Yellowknife Northwest Territories X1A 2L9,8677679055,,20040513,20181113
CAONONN,IN,CAMBCIFC,Incident Host Geographic,International Country Subdivision(State/Province),,,,CA,ON,ONN,Ministry of Natural Resources and Forestry,,300 Water Street  Peterborough Ontario K9J 8M5,8006671940,,20040603,20181030
CAPEPEN,IN,CAMBCIFC,Incident Host Geographic,International Country Subdivision(State/Province),,,,CA,PE,PEN,"Department of Communities, Land and Environment",,"4th Floor, Jones Building 11 Kent Street, PO Box 2000 Charlottetown Prince Edward Island C1A 7N8",9023685044,CLE@gov.pe.ca,20040604,20181031
CAQCPCN,IN,CAMBCIFC,Incident Host Geographic,International Country Subdivision(State/Province),,,,CA,QC,PCN,Parks Canada National Office,,30 Victoria Street  Gatineau Quebec J8X 0B3,8194209486,,20040604,20181031
CAQCQCN,IN,CAMBCIFC,Incident Host Geographic,International Country Subdivision(State/Province),,,,CA,QC,QCN,Quebec SOPFEU,,Jean Lesage International Airport 715 7 e Airport Road Quebec Quebec G2G 2S7,4188713341,cpl@sopfeu.qc.ca,20040604,20150601
CASKSKN,IN,CAMBCIFC,Incident Host Geographic,International Country Subdivision(State/Province),,,,CA,SK,SKN,Ministry of Environment,,"Nisbet Complex, Highway #2 North 3211 Albert Street Regina Saskatchewan S4S 5W6",8005674224,,20040604,20181113
CAYTYTN,IN,CAMBCIFC,Incident Host Geographic,International Country Subdivision(State/Province),,,,CA,YT,YTN,"Department of Energy, Mines and Resources",,Government of Yukon Box 2703 Whitehorse Yukon Territory Y1A 2C6,8676673111,inquiry@gov.yk.ca,20040604,20181113
USAKACC,AK,USAKACC,Dispatch/Coordination Center,Interagency,,,,US,AK,ACC,Alaska Interagency Coordination Center,,PO Box 35005  Fort Wainwright Alaska 99703,9073565680,,,20180925
USAKADD,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BLM,,US,AK,ADD,Anchorage Field Office,,   Alaska ,,,20090521,20090521
USAKAFMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,AFMX,Anchorage Fire Department,,   Alaska ,,,20050218,20051123
USAKAHN,AK,USAKACC,Incident Host Geographic,Non-Government,NG,ANC,,US,AK,AHN,"Ahtna, Inc. An Alaska Native Regional Corporation",,"Ahtna, Incorporated MP 115 Richardson Hwy / PO Box 649 Glennallen Alaska 99588",9078688250,,20140917,20181002
USAKAKA,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BIA,,US,AK,AKA,Alaska Regional Office,,   Alaska ,,,,19700101
USAKAKD,AK,USAKACC,Resource Provider Only,US Federal,DOI,BLM,,US,AK,AKD,Alaska Fire Service,AK9F0000,PO Box 35005  Fort Wainwright Alaska 99703,8002587706,,,20180925
USAKAKK,AK,USAKACC,Fire/Radio Caches,Interagency,,,,US,AK,AKK,Alaska Fire Service Interagency Cache,,   Alaska ,,,,20030331
USAKAKS,AK,USAKACC,Incident Host Geographic,US State,AK,DVF,,US,AK,AKS,Central Office,,   Alaska ,,,,20050218
USAKALN,AK,USAKACC,Resource Provider Only,Non-Government,NG,ANC,,US,AK,ALN,Aleut Regional Native Corporation,,The Aleut Corporation 4000 Old Seward Hwy Ste 300 Anchorage Alaska 99503,9075614300,,20140917,20140917
USAKAMMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,AMMX,Anchorage Municipality,,   Alaska ,,,20050218,20050218
USAKAMR,AK,USAKACC,Incident Host Geographic,US Federal,DOI,FWS,,US,AK,AMR,Alaska Maritime National Wildlife Refuge,,   Alaska ,,,,20030331
USAKAMRO,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NBC,,US,AK,AMRO,Aviation Management - Alaska Regional Office,,   Alaska ,,,20090617,20090617
USAKAND,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BLM,,US,AK,AND,Anchorage District Office,,   Alaska ,,,,20090507
USAKANP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,ANP,Aniakchak National Monument & Preserve,,PO Box 7  King Salmon Alaska 99613,9072463305,,,20160302
USAKAOP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,AOP,Alaska Regional Office,,240 W 5th Avenue  Anchorage Alaska 99501,9076443510,,,20160302
USAKAPKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,APKX,Anchor Point Volunteer Fire Department,,   Alaska ,,,20050218,20051122
USAKAPR,AK,USAKACC,Incident Host Geographic,US Federal,DOI,FWS,,US,AK,APR,Alaska Peninsula National Wildlife Refuge,,   Alaska ,,,,20030331
USAKARD,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BLM,,US,AK,ARD,Arctic Field Office,,   Alaska ,,,,20090521
USAKARR,AK,USAKACC,Incident Host Geographic,US Federal,DOI,FWS,,US,AK,ARR,Arctic National Wildlife Refuge,,   Alaska ,,,,20030331
USAKASN,AK,USAKACC,Resource Provider Only,Non-Government,NG,ANC,,US,AK,ASN,Arctic Slope Regional Native Corporation,,Arctic Slope Regional Corporation PO Box 129 Barrow Alaska 99723,9078525733,,20140917,20140917
USAKASO,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BLM,,US,AK,ASO,Alaska State Office,,   Alaska ,,,,19700101
USAKAVFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,AVFX,Anderson Volunteer Fire Department,,   Alaska ,,,20050222,20051122
USAKAWP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,AWP,Alagnak Wild River,,PO Box 7  King Salmon Alaska 99613,9072463305,,20140116,20160302
USAKBAKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,BAKX,Bayside Volunteer Fire Department,,   Alaska ,,,20050218,20051122
USAKBBN,AK,USAKACC,Resource Provider Only,Non-Government,NG,ANC,,US,AK,BBN,Bristol Bay Regional Native Corporation,,Bristol Bay Native Corporation 111 W 16th Ave Ste 400 Anchorage Alaska 99501,9072782602,,20140917,20140917
USAKBCR,AK,USAKACC,Incident Host Geographic,US Federal,DOI,FWS,,US,AK,BCR,Becharof National Wildlife Refuge,,   Alaska ,,,,20030331
USAKBEKX,AK,USAKACC,Resource Provider Only,US County/Local,AK,C&L,,US,AK,BEKX,Bear Creek Volunteer Fire and Emergency Medical Services,,PO Box 1565  Seward Alaska 99664,9072243345,,20050218,20180925
USAKBLP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,BLP,Bering Land Bridge National Preserve,,PO Box 220  Nome Alaska 99762,9074432522,,,20160302
USAKBOEM,AK,USAKACC,Resource Provider Only,US Federal,DOI,BOEM,,US,AK,BOEM,Alaska Outer Continental Shelf Region,,"3801 Centerpoint Drive, Suite 500  Anchorage Alaska 99503",9073345200,,20160614,20160614
USAKBSEE,AK,USAKACC,Resource Provider Only,US Federal,DOI,BSEE,,US,AK,BSEE,Alaska Outer Continental Shelf Region,,"3801 Centerpoint Drive, Suite 500  Anchorage Alaska 99503",9073345300,,20160614,20160614
USAKBSN,AK,USAKACC,Resource Provider Only,Non-Government,NG,ANC,,US,AK,BSN,Bering Straits Regional Native Corporation,,Bering Straits Native Corporation 110 Front St Ste 300 / PO Box 1008 Nome Alaska 99762,9074435252,,20140917,20140917
USAKBTMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,BTMX,Butte Volunteer Fire Department,,   Alaska ,,,20050218,20051122
